Date,Clicks,Impressions,CTR,Position
2026-01-03,0,247,0%,40.8
2026-01-04,2,224,0.89%,44.3
2026-01-05,0,336,0%,33.6
2026-01-06,0,249,0%,46.1
2026-01-07,0,328,0%,37.9
2026-01-08,0,298,0%,37.2
2026-01-09,1,262,0.38%,44.5
2026-01-10,0,230,0%,45.4
2026-01-11,1,272,0.37%,40.5
2026-01-12,1,383,0.26%,31.8
2026-01-13,2,292,0.68%,41.9
2026-01-14,0,277,0%,44.9
2026-01-15,0,265,0%,42.6
2026-01-16,1,268,0.37%,41.9
2026-01-17,0,280,0%,44.3
2026-01-18,0,312,0%,40.8
2026-01-19,1,358,0.28%,41.3
2026-01-20,1,355,0.28%,42.8
2026-01-21,0,320,0%,47.6
2026-01-22,3,356,0.84%,42.2
2026-01-23,0,308,0%,41.5
2026-01-24,2,348,0.57%,43.7
2026-01-25,1,353,0.28%,40.2
2026-01-26,0,414,0%,34.2
2026-01-27,0,358,0%,39.4
2026-01-28,2,342,0.58%,41.1
2026-01-29,1,346,0.29%,37.6
2026-01-30,0,376,0%,38.5
2026-01-31,0,305,0%,37.1
2026-02-01,1,340,0.29%,38.2
2026-02-02,1,394,0.25%,35.8
2026-02-03,1,306,0.33%,29.7
2026-02-04,1,363,0.28%,31.1
2026-02-05,0,390,0%,39.4
2026-02-06,2,349,0.57%,36
2026-02-07,0,272,0%,34.7
2026-02-08,0,381,0%,33.9
2026-02-09,0,382,0%,35.3
2026-02-10,2,414,0.48%,33.1
2026-02-11,1,544,0.18%,29.4
2026-02-12,2,535,0.37%,32.9
2026-02-13,3,506,0.59%,31.4
2026-02-14,0,405,0%,36.7
2026-02-15,2,420,0.48%,41.8
2026-02-16,1,605,0.17%,39.9
2026-02-17,0,493,0%,36.5
2026-02-18,1,458,0.22%,32.8
2026-02-19,3,515,0.58%,33.1
2026-02-20,0,400,0%,34.6
2026-02-21,1,432,0.23%,31.9
2026-02-22,3,385,0.78%,33.4
2026-02-23,2,476,0.42%,31.5
2026-02-24,3,403,0.74%,32
2026-02-25,2,451,0.44%,33.7
2026-02-26,2,425,0.47%,31.1
2026-02-27,1,467,0.21%,34.2
2026-02-28,1,444,0.23%,32.6
2026-03-01,1,428,0.23%,34.9
2026-03-02,1,588,0.17%,31.3
2026-03-03,5,582,0.86%,32.7
2026-03-04,0,435,0%,25.4
2026-03-05,1,493,0.2%,25.2
2026-03-06,0,404,0%,25.6
2026-03-07,1,477,0.21%,25.4
2026-03-08,0,356,0%,23.1
2026-03-09,3,532,0.56%,27.4
2026-03-10,1,481,0.21%,28.3
2026-03-11,6,362,1.66%,28
2026-03-12,1,445,0.22%,28.5
2026-03-13,1,328,0.3%,24.3
2026-03-14,2,271,0.74%,25.3
2026-03-15,0,126,0%,27.9
2026-03-16,0,339,0%,27
2026-03-17,3,348,0.86%,24.9
2026-03-18,0,284,0%,25.4
2026-03-19,0,309,0%,27.8
2026-03-20,4,290,1.38%,25.5
2026-03-21,2,263,0.76%,22.3
2026-03-22,4,252,1.59%,21.5
2026-03-23,0,258,0%,18.5
2026-03-24,4,278,1.44%,20.6
2026-03-25,2,257,0.78%,23.5
2026-03-26,3,266,1.13%,21.8
2026-03-27,2,215,0.93%,24.4
2026-03-28,1,200,0.5%,26.4
2026-03-29,3,203,1.48%,23.7
2026-03-30,1,232,0.43%,28
2026-03-31,0,271,0%,32.8
2026-04-01,1,237,0.42%,34.3
2026-04-02,3,327,0.92%,33.1
2026-04-03,2,324,0.62%,25.5
