Top queries,Clicks,Impressions,CTR,Position
wood staining sutton,0,33,0%,37.12
painter and decorator highgate,0,33,0%,44.91
domestic decorator pinner,0,33,0%,56.73
rendering cockfosters,0,32,0%,30.16
hall's quality painting,0,32,0%,42.72
local painter and decorator,0,31,0%,22.1
commercial painting and decorating mildenhall,0,31,0%,58.52
insured painter,0,30,0%,7.9
home decorators,0,30,0%,15
hadley shaker painted wood kitchens in hertfordshire,0,29,0%,15.14
painter and decorator in barnet,0,29,0%,41.14
wallpaper installer,0,29,0%,49.9
industrial decorating hertford,0,29,0%,51.97
commercial decorator pinner,0,29,0%,57.21
local painter and decorator berkhamsted,0,29,0%,66.52
commercial painters in my area st albans,0,29,0%,79.14
exterior wall coatings barnet,0,28,0%,39.64
local decorators st albans,0,28,0%,81.43
painters near me barnet,0,27,0%,2.44
professional exterior painting uk,0,27,0%,50.11
household decorating letchworth garden city,0,27,0%,59.63
commercial painters greenhithe,0,27,0%,71.07
decorator potters bar,0,27,0%,88.78
eco friendly cabinet refinishing london,0,26,0%,54.62
decorators hertford,0,26,0%,62.62
plastering barnet,0,26,0%,80.73
professional decorator service,0,25,0%,40.4
painter decorator hertford,0,25,0%,61.88
premium paint finishes london,0,24,0%,16.88
wall preparations north london,0,24,0%,23.21
exterior painting and decorating mayfair,0,24,0%,53.71
spray painting services beckenham,0,24,0%,92.5
decorating fitzrovia,0,23,0%,29.87
painter whetstone,0,23,0%,79.17
wood finishing services,0,22,0%,42.91
borehamwood decorator,0,22,0%,45.27
hand painted kitchen london,0,22,0%,55.23
quality interior painting london,0,22,0%,58.55
decorator in barnet,0,21,0%,18.81
furniture painting london,0,21,0%,30.43
decorators in st albans,0,21,0%,61.9
decorator in finchley,0,21,0%,74.86
bespoke kitchen cabinet painters,0,21,0%,92.24
premium decorating,0,20,0%,10.95
residential painting london,0,20,0%,29.4
commercial painting and decorating covent garden,0,20,0%,43
interior house painting service in london,0,20,0%,45.95
interior home painting service earls court,0,20,0%,51.85
painting and decorating services near me berkhamsted,0,20,0%,80.5
property renovation southgate,0,20,0%,91.55
how much to paint a kitchen walls and ceiling,0,19,0%,1
spray painting doors london,0,19,0%,23.95
spray painting services,0,19,0%,53.11
professional decorator service uk,0,18,0%,29.33
professional painting decorating,0,18,0%,77
internal decorating pinner,0,18,0%,78.72
painter and decorator cockfosters,0,17,0%,10.82
london interior house painting service,0,17,0%,42.24
commercial painter in whitefield,0,17,0%,49.47
commercial building paint,0,17,0%,49.82
"interior painter in borehamwood, hertfordshire -site:indeed.com 
-site:instagram.com -site:wikipedia.org -site:linkedin.com -site:bark.com 
-site:facebook.com/groups",0,17,0%,52.29
3 for 2 paint ers,0,17,0%,53.41
domestic decorator uxbridge,0,17,0%,53.82
painter and decorator in enfield,0,16,0%,2
residential painting,0,16,0%,36
cabinet painting,0,16,0%,37.38
decorator in borehamwood,0,16,0%,60.31
wallpaper with installation,0,16,0%,83.94
alba,0,15,0%,3.87
long-lasting exterior painting and decorating north london,0,15,0%,12.4
"painter and decorator in waltham cross, hertfordshire",0,15,0%,12.47
"professional painter in waltham cross, hertfordshire, uk",0,15,0%,12.53
alba interiors,0,15,0%,17.53
residential paint spraying london,0,15,0%,17.93
wallpaper installation service,0,15,0%,24.87
decorator in albourne,0,15,0%,48.47
london exterior house painting service,0,15,0%,51.47
cabinet painting london,0,15,0%,67.67
spray painting enfield,0,14,0%,1
commercial decorator moor park,0,14,0%,16.93
local interior decorators near me,0,14,0%,36.43
interior house painting service earls court,0,14,0%,48.71
painting and decorating enfield,0,14,0%,54.79
spray paint services,0,14,0%,57.36
ultimate decor london,0,14,0%,65
professional wallpaper installers in greater london,0,14,0%,78.5
painted kitchens london,0,14,0%,90.5
office painting services greenhithe,0,14,0%,94.93
"interior painter in waltham cross, hertfordshire",0,13,0%,8.08
decorators near me,0,13,0%,10.62
spray render barnet,0,13,0%,16.92
commercial painters southgate,0,13,0%,18.92
paint and decorator near me,0,13,0%,48.62
commercial painters in my area rickmansworth,0,13,0%,67.69
decorating company london,0,13,0%,72.38
decorators near me berkhamsted,0,13,0%,74.38
wallpaper hanger london,0,13,0%,83.77
exterior painting chislehurst,0,13,0%,87.23
"painting contractor in waltham cross, hertfordshire",0,12,0%,4.83
painters near me,0,12,0%,5.33
spray painting popcorn ceiling london,0,12,0%,10.33
cost to sand prime paint doors drawer fronts uk,0,12,0%,15.25
wallpaper installation services,0,12,0%,21.5
"interior painter in london, n14",0,12,0%,21.83
commercial painting service london,0,12,0%,23.08
interior painting services london,0,12,0%,28.33
wallpaper contractor,0,12,0%,39
mdf spraying london,0,12,0%,39.08
exterior woodwork painting saffron walden,0,12,0%,45.25
painter and decorator finchley,0,12,0%,74.92
halls painting and decorating,0,12,0%,79.33
furniture painting company harpenden,0,12,0%,80.5
exterior painting and decorating,0,11,0%,1
"painter in waltham abbey, essex",0,11,0%,1
alba homes,0,11,0%,3.82
alba premium painting,0,11,0%,9.73
painter in barnet,0,11,0%,12.91
wallpaperer in london,0,11,0%,37.82
painter and decorator broxbourne,0,11,0%,42.45
decorator in north london,0,11,0%,59.82
spray painters london,0,11,0%,63.64
commercial decorating berkhamsted,0,11,0%,86.91
spray painting westminster,0,10,0%,3
painter and decorator barnet,0,10,0%,15.7
interior finishes london,0,10,0%,18.2
spray painting services london,0,10,0%,37.3
painter and decorators near me,0,10,0%,45.6
premium painting and decorating,0,10,0%,47.8
house painting service earls court,0,10,0%,48.5
domestic decorating rickmansworth,0,10,0%,56.9
decorating company harrow,0,10,0%,62.2
"painter in waltham cross, hertfordshire, uk",0,9,0%,3.33
painters & decorators waltham abbey,0,9,0%,6.78
new builds painting london,0,9,0%,10.67
local painter decorator,0,9,0%,15.11
"professional painter in waltham cross, hertfordshire",0,9,0%,16.78
outdoor painters,0,9,0%,16.89
decor services,0,9,0%,24.67
spray painting london,0,9,0%,30.44
which local painters and decorators,0,9,0%,35
residential painting services,0,9,0%,35.44
painter and decorator totteridge,0,9,0%,35.78
decorator highgate,0,9,0%,44.67
spray painting service,0,9,0%,53.67
domestic decorating,0,9,0%,70.11
commercial wallpaper installation,0,9,0%,72.89
painting and decorating st albans,0,9,0%,91.89
"painter in waltham abbey, essex, uk",0,8,0%,1.38
painter decorator cheshunt,0,8,0%,1.88
"painter in waltham cross, hertfordshire",0,8,0%,5.25
"painting contractor in london, n14",0,8,0%,10.88
local home decorator,0,8,0%,13.88
new builds painting services london,0,8,0%,17.62
wallpaper removal companies,0,8,0%,20.5
interior and exterior painting watford,0,8,0%,32.38
painters southgate,0,8,0%,33.62
cost of repainting kitchen cabinets,0,8,0%,34.38
painter decorator claygate,0,8,0%,36.5
painters isleworth,0,8,0%,38.12
interior house painting services uk,0,8,0%,43.38
buntingford decorator,0,8,0%,70.25
decorator north london,0,8,0%,80.5
painters chislehurst beckenham,0,8,0%,88.62
decorator in enfield,0,7,0%,2.14
painter and decorator near me,0,7,0%,2.29
"professional painter in hadley wood, greater london",0,7,0%,12
"painter and decorator in cheshunt, hertfordshire",0,7,0%,12.57
painter and decorator,0,7,0%,13
interior painting north london,0,7,0%,15.43
painter totteridge,0,7,0%,18
local interior decorators,0,7,0%,18.14
best kitchen cabinet paint london,0,7,0%,21.43
painters and decorators barnet,0,7,0%,26.43
wood flooring northaw,0,7,0%,44.43
house painters southgate,0,7,0%,46.29
painting services london,0,7,0%,47.29
domestic decorator northwood,0,7,0%,47.57
ab painting and decorating,0,7,0%,59.57
commercial decorators near me berkhamsted,0,7,0%,68.71
decorators north london,0,7,0%,80.14
painters and decorators north london,0,7,0%,91.14
commercial painting company berkhamsted,0,7,0%,97.57
5l paint coverage,0,6,0%,1
how much does 5l paint cover,0,6,0%,1
"painter and decorator in waltham abbey, essex",0,6,0%,1.17
decorator,0,6,0%,1.67
staining and woodwash london,0,6,0%,3.5
"painting contractor in hadley wood, greater london",0,6,0%,9.67
professional interior painter,0,6,0%,14.83
professional wood finishing,0,6,0%,15.33
internal house painting,0,6,0%,20.83
furniture spray painters near berkhamsted,0,6,0%,24.67
spray painting stevenage,0,6,0%,31
painter in hertford,0,6,0%,39.5
"interior painter in hadley wood, london",0,6,0%,42
painters and decorators hertford,0,6,0%,54.17
professional cabinet refinishing london,0,6,0%,56.5
commercial painting and decorating histon,0,6,0%,64.33
commercial painting east london,0,6,0%,68.33
line painters,0,6,0%,71
commercial decorating london,0,6,0%,76.17
domestic decorator harrow,0,6,0%,78.17
painting and decorating north london,0,6,0%,82.17
painter and decorator rotherfield,0,6,0%,87.67
professional spray painting,0,6,0%,90
"interior painter in waltham abbey, essex, uk",0,5,0%,1
"interior painter in waltham abbey, essex",0,5,0%,1.2
painting services,0,5,0%,1.6
painter decorator near me,0,5,0%,2
"painter and decorator in waltham cross, hertfordshire, uk",0,5,0%,3.6
"interior painter in waltham cross, hertfordshire, uk",0,5,0%,4.4
painter and decorator southgate,0,5,0%,11.8
decking painting london,0,5,0%,13.4
wood finishes & treatment professionals,0,5,0%,14.6
high end paint application london,0,5,0%,17
professional wallpaper installers,0,5,0%,21
interior painting service london,0,5,0%,21.4
professional cabinet painting cost,0,5,0%,22.6
external decorating northwood,0,5,0%,23
interior painting services in london,0,5,0%,26
interior painting services,0,5,0%,26.4
household paint services,0,5,0%,28.8
commercial decorators,0,5,0%,30
wood staining near me,0,5,0%,39.2
find local decorators,0,5,0%,43.4
wallpapering north london,0,5,0%,47.6
painting consultation,0,5,0%,53.8
painting and decorating welwyn garden city,0,5,0%,66.2
anti-slip coating services london,0,5,0%,66.4
painters harrow,0,5,0%,68
exterior painters hampstead,0,5,0%,69
domestic decorating welwyn garden city,0,5,0%,72.8
spray painting isleworth,0,5,0%,79.4
painting and decoratating contractors rickmansworth,0,5,0%,91.2
painter and decorator chislehurst,0,5,0%,94.8
5 litre paint coverage,0,4,0%,1
painters near me brent,0,4,0%,1
house painter,0,4,0%,2
painter,0,4,0%,3
alba dekor,0,4,0%,5.25
outside painters in my area,0,4,0%,10
"interior decorator in waltham cross, hertfordshire",0,4,0%,11.25
"interior painter in enfield, uk",0,4,0%,14.75
high end painter totteridge,0,4,0%,15.5
painters barnet,0,4,0%,16
wallpapering professionals london,0,4,0%,16.25
"painter and decorator in hadley wood, greater london",0,4,0%,17
indoor paint london,0,4,0%,17.25
decorators in barnet,0,4,0%,18.25
bespoke cabinet painter south east london,0,4,0%,18.75
"painting contractor in waltham cross, hertfordshire, uk",0,4,0%,22
wallpaper installers london,0,4,0%,24
painters and decorators in barnet,0,4,0%,25
commercial painting,0,4,0%,26.5
find a local painter and decorator,0,4,0%,27
staining services,0,4,0%,28.75
domestic painting services london,0,4,0%,30.25
painters and decorators near me,0,4,0%,31.5
sealant contractors for healthcare london,0,4,0%,32.75
"professional painter in cheshunt, hertfordshire",0,4,0%,35.5
wallpaper installation services in london,0,4,0%,36.5
"professional painter in potters bar, hertfordshire, uk",0,4,0%,42.25
exterior house painting service in london,0,4,0%,42.5
painting and decor,0,4,0%,43.5
interior commercial painting,0,4,0%,49.25
expert wallpaper installation,0,4,0%,55.5
interior decorating ealing,0,4,0%,62.25
alba paints,0,4,0%,62.5
london commercial painter,0,4,0%,65.25
"painter and decorator in elm park, greater london",0,4,0%,65.5
ab decorating services,0,4,0%,75.75
spray painting services watford,0,4,0%,76.75
interior design paint consultation,0,4,0%,79.5
paint and decorator rickmansworth,0,4,0%,82.25
north london painter decorator,0,4,0%,89.5
commercial painters london,0,4,0%,92.25
professional interior house painting,0,4,0%,93.25
commercial painting dalton,0,4,0%,94.75
internal decorating uxbridge,0,4,0%,95
5l of paint coverage,0,3,0%,1
air compressor for painting,0,3,0%,1
best paint for kitchen sink,0,3,0%,1
cost to paint kitchen walls and ceiling,0,3,0%,1
interior decor,0,3,0%,1
local guide program,0,3,0%,1
painting interior design,0,3,0%,1
house decorating,0,3,0%,1.67
painters in enfield,0,3,0%,3.33
"painter and decorator in enfield, uk",0,3,0%,3.67
"interior designers in waltham cross, hertfordshire",0,3,0%,4
oram's bespoke decorating,0,3,0%,5.33
"interior decorator in waltham cross, hertfordshire, uk",0,3,0%,6.33
premium painters,0,3,0%,6.33
painter and decorator cheshunt,0,3,0%,6.67
alba paint,0,3,0%,7.33
painting and decorating agencies,0,3,0%,7.33
fine finish painters london,0,3,0%,9.67
decorator totteridge,0,3,0%,10.33
home decor services,0,3,0%,12
timber cladding staining service,0,3,0%,14.33
painters in barnet,0,3,0%,14.67
"professional painter in london, n21",0,3,0%,16
barnet painters,0,3,0%,18.33
"professional painter in london, n14",0,3,0%,21
professional cabinet painting,0,3,0%,22
"professional painter in hadley wood, london",0,3,0%,24.67
decorating services,0,3,0%,26.67
commercial painting solutions,0,3,0%,29
"professional painter in enfield, uk",0,3,0%,31.67
house painting services london,0,3,0%,33
commercial interior painting services,0,3,0%,33.67
services wallpaper,0,3,0%,34.33
"interior painter in watford, hertfordshire, uk",0,3,0%,35.33
professional wallpaper installer,0,3,0%,39
mdf spray painting london,0,3,0%,39.67
"professional painter in elm park, greater london",0,3,0%,43.33
london decor company,0,3,0%,44
paint kitchen cabinets cost,0,3,0%,46.67
fjorentin,0,3,0%,47
painter and decorator piccadilly,0,3,0%,48.33
"painter in potters bar, hertfordshire, uk",0,3,0%,50.33
paint and decor,0,3,0%,50.67
"interior painter in london, n11",0,3,0%,51.67
painter bexley,0,3,0%,60
"painter and decorator in barnet, uk",0,3,0%,61.67
"interior painter in watford, hertfordshire",0,3,0%,68.33
"painter and decorator in harold wood, greater london",0,3,0%,68.67
wood varnishes croydon,0,3,0%,70
"interior painter in borehamwood, hertfordshire, uk -site:indeed.com 
-site:instagram.com -site:wikipedia.org -site:linkedin.com -site:bark.com 
-site:facebook.com/groups",0,3,0%,71
"painter in barnet, uk",0,3,0%,72.67
decorating company uxbridge,0,3,0%,73
decorators in welwyn garden city,0,3,0%,75.33
wood stainers near me,0,3,0%,78.67
best local painters and decorators near me berkhamsted,0,3,0%,84.67
spray painter london,0,3,0%,87.33
spray painters in london,0,3,0%,90.33
painter and decorator in borehamwood,0,3,0%,91
painter and decorator hayes,0,3,0%,91.33
household decorating hitchin,0,3,0%,92
internal decorating harrow,0,3,0%,93.67
spray painting french doors,0,3,0%,94
decorator whetstone,0,3,0%,96.67
north london decorator,0,3,0%,96.67
commercial decorating rickmansworth,0,3,0%,97.67
interior exterior painters near me berkhamsted,0,3,0%,97.67
painter and decorators st albans,0,3,0%,97.67
painting decorating company london,0,3,0%,142.33
5 litres of paint coverage,0,2,0%,1
air compressor paint,0,2,0%,1
best sanitary silicone uk,0,2,0%,1
ceiling painting,0,2,0%,1
"ceiling repair in waltham cross, hertfordshire",0,2,0%,1
exclusive finishes,0,2,0%,1
exterior painting company,0,2,0%,1
facade restoration cockfosters,0,2,0%,1
house painting services,0,2,0%,1
how much does 5 litres of paint cover,0,2,0%,1
how much does 5l of paint cover,0,2,0%,1
how much will 5l paint cover,0,2,0%,1
"interior painter in cheshunt, hertfordshire",0,2,0%,1
laminate paint colours,0,2,0%,1
paint air compressor,0,2,0%,1
paint and grain,0,2,0%,1
"painting contractor in cheshunt, hertfordshire",0,2,0%,1
what area does 5l paint cover,0,2,0%,1
"painting contractor in waltham abbey, essex",0,2,0%,1.5
decorator enfield,0,2,0%,2
decorator painter,0,2,0%,2
painter & decorator near me prices,0,2,0%,2
painter and decorator companies near me,0,2,0%,2.5
painting decorating,0,2,0%,2.5
alba exteriors,0,2,0%,3
al decoration,0,2,0%,4
"painter and decorator in enfield, greater london",0,2,0%,5
wallpaper repair service,0,2,0%,6.5
wallpaper repair,0,2,0%,8.5
wood staining services,0,2,0%,10
"interior decorator in london, n14",0,2,0%,10.5
wallpaper sticking service,0,2,0%,11
spray painting popcorn ceiling sutton,0,2,0%,11.5
spray painting popcorn ceiling balham,0,2,0%,12
wallpaper removal service near me,0,2,0%,12
"painter in high barnet, greater london",0,2,0%,12.5
exterior painter,0,2,0%,13
wallpaper removal services,0,2,0%,13.5
professional wood staining,0,2,0%,14
bespoke decorative finishes,0,2,0%,15
"painter and decorator in potters bar, hertfordshire, uk",0,2,0%,15
"professional painter in barnet, uk",0,2,0%,16
barnet decorator,0,2,0%,17
interior design spray production,0,2,0%,19
"interior painter in london, n21",0,2,0%,19
"interior decorator in barnet, greater london",0,2,0%,20
"painting contractor in barnet, uk",0,2,0%,21.5
wallpapering services,0,2,0%,21.5
cabinet painting near me,0,2,0%,22.5
professional interior painting services,0,2,0%,23.5
professional wallpaper installer near me,0,2,0%,24
"painting contractor in potters bar, hertfordshire, uk",0,2,0%,26
"painting contractor in edgware, barnet, uk",0,2,0%,30.5
commercial painters westminster,0,2,0%,31
how much to paint kitchen cabinets,0,2,0%,32.5
"painting contractor in barnet, greater london",0,2,0%,33
paint color consultant near me,0,2,0%,34
drywall and painting,0,2,0%,35
painter decorator in sandgate,0,2,0%,35
decorators in cliviger,0,2,0%,36
external decorating uxbridge,0,2,0%,36
"interior painter in barnet, greater london",0,2,0%,40
abbey decor,0,2,0%,41
painter and decorator westminster,0,2,0%,41
painters westminster,0,2,0%,41
interior painting contractor,0,2,0%,43.5
interior painting johns creek,0,2,0%,43.5
wallpapering service,0,2,0%,43.5
wallpaper installer near me,0,2,0%,44.5
custom wall finishes,0,2,0%,45
london decorating company,0,2,0%,45
express painting,0,2,0%,46
aw decorators,0,2,0%,47.5
house painting moor park,0,2,0%,47.5
"professional painter in london, n11",0,2,0%,47.5
northaw removals,0,2,0%,48.5
"painting contractor in potters bar, hertfordshire",0,2,0%,49.5
commercial painters & decorators elland,0,2,0%,50
decorating london,0,2,0%,50
aurora painters,0,2,0%,50.5
kitchen decorators near me,0,2,0%,50.5
"painter in cheshunt, hertfordshire",0,2,0%,50.5
wallpaper installation company,0,2,0%,50.5
hand painting kitchens,0,2,0%,52
mdf spraying near me,0,2,0%,52
wood furniture painters near me rickmansworth,0,2,0%,52.5
decorators shop near me,0,2,0%,53
painter and decorator abinger,0,2,0%,60.5
interior painting company,0,2,0%,63.5
wallpaper specialist,0,2,0%,64
coastal decorators,0,2,0%,65
ab painting services,0,2,0%,67.5
kitchen cabinets potters bar,0,2,0%,67.5
"painter and decorator in edgware, barnet, uk",0,2,0%,68.5
painting and decorating tips,0,2,0%,68.5
ab decorating,0,2,0%,69.5
"interior painter in northolt, greater london",0,2,0%,69.5
commercial decorator london,0,2,0%,71
"interior designer in waltham cross, hertfordshire",0,2,0%,72
wood flooring cuffley,0,2,0%,73.5
ab decorators,0,2,0%,77.5
commercial decoration and painting,0,2,0%,79
paint and more,0,2,0%,79
paint and decorating rickmansworth,0,2,0%,81
painting and decorating contractors rickmansworth,0,2,0%,82.5
painter decorator north london,0,2,0%,83
"professional painter in margate, kent",0,2,0%,83.5
"interior painter in borehamwood, hertfordshire",0,2,0%,89.5
decorations hertfordshire,0,2,0%,90.5
london wallpaper decorating,0,2,0%,91
painting and decorating in queens park,0,2,0%,94.5
north london painting and decorating,0,2,0%,98
decorators in north london,0,2,0%,98.5
decor spray,0,2,0%,99
external decorators near me,0,2,0%,99
painter and decorator north london,0,2,0%,99
"interior painter in stevenage, hertfordshire",0,2,0%,99.5
"professional painter in watford, hertfordshire, uk",0,2,0%,99.5
100ml paint coverage,0,1,0%,1
5 liter paint cover how much area,0,1,0%,1
5 liters of paint coverage,0,1,0%,1
5 litre paint coverage area,0,1,0%,1
air compressor painting,0,1,0%,1
alba cabinets,0,1,0%,1
alba home,0,1,0%,1
artisan painter,0,1,0%,1
best emulsion paint sprayer uk,0,1,0%,1
best exterior house color combinations,0,1,0%,1
best interior works near me,0,1,0%,1
best natural paint colours,0,1,0%,1
best paint for static caravan interior,0,1,0%,1
best painter and decorator near me,0,1,0%,1
best place for paint,0,1,0%,1
business paint,0,1,0%,1
cabinet transformation prices,0,1,0%,1
can i paint kitchen cabinets,0,1,0%,1
can you paint melamine,0,1,0%,1
color paint,0,1,0%,1
commercial painters,0,1,0%,1
cost of new kitchen,0,1,0%,1
cost to paint kitchen cabinets vs replace,0,1,0%,1
coverage of 5l paint,0,1,0%,1
decor specialists,0,1,0%,1
decorating painting,0,1,0%,1
decoration company,0,1,0%,1
decorations company near me,0,1,0%,1
decorative paint brush,0,1,0%,1
decorator cost,0,1,0%,1
decorator paints,0,1,0%,1
decorators prices,0,1,0%,1
how much do painters charge per room,0,1,0%,1
